,gene_name
1672,FCRL2
1673,FGGY
1674,SZRD1
1675,DAB1
1676,AK4
1677,REN
1678,ARHGEF11
1679,SPRTN
1680,ZSCAN20
1681,ZNHIT6
1682,ROR1
1683,TRNP1
1684,ZBTB48
1685,EPRS1
1686,SPRR2F
1687,METTL13
1688,CLCA4
1689,KDM5B
1690,IL23R
1691,GCLM
1692,SLC66A1
1693,TMIGD3
1694,SH3D21
1695,VANGL2
1696,LAMTOR5
1697,RRAGC
1698,PPP2R5A
1699,MYCL
1700,ECE1
1701,QSOX1
1702,OR14I1
1703,FAM183A
1704,TAF12
1705,EIF3I
1706,ACP6
1707,SPATA21
1708,S100A4
1709,PPIAL4F
1710,PRAMEF10
1711,CEPT1
1712,RPRD2
1713,OR10T2
1714,P3R3URF-PIK3R3
1715,C1orf115
1716,CAMTA1
1717,APOA2
1718,ZNF687
1719,COQ8A
1720,NTMT2
1721,NUP133
1722,SAMD11
1723,PHLDA3
1724,SOX13
1725,C1orf185
1726,PRUNE1
1727,MRPS21
1728,FAM189B
1729,TRIT1
1730,PADI1
1731,RNF11
1732,CNKSR1
1733,BTBD8
1734,SLAMF6
1735,SLC19A2
1736,SF3A3
1737,KIAA0319L
1738,ACTA1
1739,LRRC38
1740,FDPS
1741,SELENOF
1742,HFM1
1743,ERI3
1744,L1TD1
1745,YY1AP1
1746,PAQR7
1747,PM20D1
1748,KNCN
1749,DTL
1750,GNAI3
1751,CRNN
1752,SYT6
1753,PARS2
1754,ACADM
1755,TMEM269
1756,OR2T8
1757,CATSPERE
1758,S1PR1
1759,PAFAH2
1760,ADAR
1761,C1orf159
1762,CLEC20A
1763,TEX38
1764,ATPAF1
1765,PRMT6
1766,IRF2BP2
1767,SDF4
1768,GLMN
1769,SLC27A3
1770,IFFO2
1771,MCOLN3
1772,FLG
1773,PLEKHN1
1774,PADI6
1775,ZNF362
1776,CTNNBIP1
1777,OR2C3
1778,HNRNPCL2
1779,GPR137B
1780,SPATA6
1781,LGALS8
1782,BRINP3
1783,PRPF38A
1784,TP53BP2
1785,TMEM201
1786,CCT3
1787,ASPM
1788,FOXJ3
1789,CENPS
1790,TNFSF18
1791,LRRN2
1792,RSBN1
1793,HHAT
1794,FAM151A
1795,HRNR
1796,LRRC8C
1797,SLC35E2B
1798,POGZ
1799,GFI1
1800,OR2M2
1801,KCNA2
1802,SHE
1803,PHTF1
1804,LCE1C
1805,UBXN10
1806,ACBD6
1807,ARV1
1808,PRAMEF4
1809,DAP3
1810,CCDC27
1811,LCE2B
1812,RAB3B
1813,GBP2
1814,MRPL37
1815,DPYD
1816,AUNIP
1817,EVA1B
1818,LINGO4
1819,EYA3
1820,GLMP
1821,GJB3
1822,SRSF11
1823,SEC22B
1824,DEDD
1825,PYCR2
1826,PRAMEF17
1827,DDOST
1828,NSL1
1829,C1orf74
1830,OR14A2
1831,SF3B4
1832,PTPRU
1833,RHBG
1834,ANKRD13C
1835,RPL5
1836,SPRR4
1837,CCDC28B
1838,ITGB3BP
1839,C8B
1840,IL19
1841,MYSM1
1842,TMEM54
1843,ZNF281
1844,C1orf43
1845,TRAF5
1846,SARS1
1847,TTC39A
1848,GJA5
1849,FCRL5
1850,OR10J1
1851,AMY1B
1852,MEAF6
1853,ARTN
1854,RHOC
1855,RNF186
1856,C1orf216
1857,LMNA
1858,ATXN7L2
1859,TRIM62
1860,GBP3
1861,FHAD1
1862,PARK7
1863,RGS16
1864,TSEN15
1865,ST6GALNAC3
1866,FBXO2
1867,RER1
1868,HNRNPCL4
1869,ANGPTL3
1870,AMPD2
1871,SCNN1D
1872,CDK11A
1873,C1QA
1874,GPATCH3
1875,ASCL5
1876,PGM1
1877,TMEM125
1878,HJV
1879,PRELP
1880,IFI6
1881,TBX19
1882,RGS13
1883,LRRC47
1884,SERTAD4
1885,KDM4A
1886,EFNA4
1887,CD53
1888,CFAP57
1889,PRAMEF8
1890,TAS1R3
1891,LIX1L
1892,GALNT2
1893,CAMK2N1
1894,SVBP
1895,LRRC71
1896,SLC25A33
1897,DHRS3
1898,PRPF3
1899,PPP1R8
1900,BCL10
1901,ARMH1
1902,AP4B1
1903,APOBEC4
1904,RABGAP1L
1905,PSEN2
1906,NOC2L
1907,RAB29
1908,NUDT4B
1909,MPC2
1910,TCEA3
1911,GALE
1912,FAM89A
1913,CCN1
1914,FOXO6
1915,CNN3
1916,C1orf52
1917,USP48
1918,TYW3
1919,GON4L
1920,BLZF1
1921,HP1BP3
1922,SRSF10
1923,SNAP47
1924,PRAMEF11
1925,KPNA6
1926,ID3
1927,PLA2G2E
1928,ALDH4A1
1929,ZYG11A
1930,ZP4
1931,AXDND1
1932,PIK3C2B
1933,UROD
1934,SDC3
1935,MMEL1
1936,OR2T6
1937,HHIPL2
1938,PRDX1
1939,CRYZ
1940,ITLN1
1941,TSNAX-DISC1
1942,SLC16A1
1943,TRIM17
1944,CFHR5
1945,ARHGAP29
1946,C1orf53
1947,CELF3
1948,ELOA
1949,KLF17
1950,OR1C1
1951,MMACHC
1952,FAAH
1953,PACC1
1954,VHLL
1955,NMNAT1
1956,SPRR2D
1957,RYR2
1958,NR0B2
1959,DENND2D
1960,CD84
1961,SETSIP
1962,GNL2
1963,MOV10
1964,KCNQ4
1965,TRIM63
1966,VCAM1
1967,OR2T3
1968,TOR3A
1969,SLC9C2
1970,CREB3L4
1971,NOTCH2
1972,ANXA9
1973,FAM20B
1974,KANK4
1975,SYTL1
1976,PLPP3
1977,SHC1
1978,OR2T11
1979,BRINP2
1980,PPIE
1981,CRB1
1982,TRIM33
1983,SPATA1
